Term;Location of Origin;Targeted Demographic;Meaning Origin and Notes;References;Meaning, origin and notes
Jack Mormon;United Kingdom;Latter Day Saint;A non-faithful LDS person or a non-Mormon altogether. Jack Mormon is usually used by non-Mormons to describe Mormons that do not follow the Word of Wisdom (dietary and health practices that exclude the use of tobacco or alcohol) and by Mormons to describe members that do not sufficiently follow practices. It is also used by Mormons to describe those who were Mormon but remain friendly to the church. It may be applied to ex-Mormons who have repudiated the church and its teachings but that is a rare usage.;;
Raghead;North America;Islamic turban wearers;From Islamic wearing of turbans.;;
Osama;North America;Islamic men;From Osama bin Laden.;;
Muzzie;Australia;Islamic people;A shortened version of the word: 'Muslim' used in a derrogatory manner usually with intent to offend;;
Qadiani;Pakistan;Ahmadiyya;The term originates from Qadian, a small town in northern India, the birthplace of Mirza Ghulam Ahmad, the founder of the Ahmadiyya movement. The use of Qadiani is primarily in Pakistan. The term has even been used in official Pakistani documents. It is also known as the Q-word.;;
Kadrun[id];Indonesia;Islamic fundamentalists;"Portmanteau of kadal gurun meaning ""desert lizard"". Originated as a social media political insult, the term is used for close-minded Muslims influenced by Islamic extremism and fundamentalism from the Middle East.";;
Bible beater also known as Bible basher;North America;Christian's pentecostal denomination;A dysphemism for people who believe in the fundamentalist authority of the Bible, particularly those from a Pentecostal or fundamentalist denomination. It is also a slang term for an evangelising Christian. Commonly used universally against Christians who are perceived to go out of their way to energetically preach their faith to others.;;
Bible thumper;United States;Christian people;Someone perceived as aggressively imposing their Christian beliefs upon others. The term derives from preachers thumping their hands down on the Bible, or thumping the Bible itself, to emphasize a point during a sermon. The term's target domain is broad and can often extend to anyone engaged in a public show of religion, fundamentalist or not. The term is most commonly used in English-speaking countries.;;
Cafeteria Christian;United States;Selection of Christian doctrines;Used by some Christians, and others, to accuse other Christian individuals or denominations of selecting which Christian doctrines they will follow, and which they will not.;;
Chuhra;Pakistan;"Lower-class Christians and menial workers; later used against any Christian in general. Also used against Pakistani Hindu people.";Derived from Shudra, the fourth and lowest Hindu caste, whose members consisted of labourers and cleaners. Because menial jobs were reserved for religious minorities, the term was later used against non-Muslims in Pakistan, especially Christians.;;
Fundie;United States;Christian fundamentalist;Shortening of fundamentalist. Usually used to mean a Christian fundamentalist.;;
Isai, Saai;Pakistan;Christian people;"From Isa, the name of Jesus Christ from the Qur'an as a prophet of Islam. The term literally means ""[person/people] of Jesus"", but it later meant ""street sweeper"" or ""labourer"".";;
Rice Christian, Rice bag;United Kingdom, India;Material benefiting Christians, Christians (in general, especially from the northeast);Someone who has formally declared themself a Christian for material benefits rather than for religious reasons. In India, the term was extended to refer to any Christian convert.;;
Campbellite;United States;Followers of Church of Christ;Followers of the Church of Christ, from American Restoration Movement leaders Thomas Campbell and Alexander Campbell, the latter being one of two key people considered the founders of the movement.;;
Holy Roller;United States;Christian people;Named after a common orange-flavoured cake/biscuit in the ROI and UK.;;
Jaffa;United Kingdom;Christian people;Named after a common orange-flavoured cake/biscuit in the ROI and UK.;;
Prod;United Kingdom, Ireland;Christian Protestants;"Particularly a rival child from a Protestant school. ""Proddywhoddy"" and ""proddywoddy"" are used in children's school rhymes in Cork.";;
Russellite;United States;Jehovah's Witnesses;Jehovah's Witness from American religious leader Charles Taze Russell.;;
Shaker;United States;Christian people;"Member of the United Society of Believers in Christ's Second Appearing. Originated as ""Shaking Quakers"", in reference to their similarity to Quakers as well as their charismatic worship practices, which involved dancing, shouting, and speaking in tongues. The term was originally derogatory, but very early on was embraced and used by the Shakers themselves.";;
Soup-taker;Ireland;Christian who sold their belief;Person who has sold out their beliefs, referring to the Great Famine of Ireland when some Catholics converted to a Protestant faith in order to gain access to a free meal.;;
Raghead;North America;Islamic turban wearers;In reference to Sikh headgear (usually turbans), often used in the belief that Sikhs are connected to terrorism. Also used against anyone wearing turbans or keffiyehs.;;
